id_departamento,nombre,PAIS_id_pais
1,Guatemala,1
2,Sacatepequez,1
3,Chimaltenango,1
4,Escuintla,1
5,Santa Rosa,1
6,Solola,1
7,Totonicapan,1
8,Quetzaltenango,1
9,Suchitepequez,1
10,Retalhuleu,1
11,San Marcos,1
12,Huehuetenango,1
13,Quiche,1
14,Baja Verapaz,1
15,Alta Verapaz,1
16,Peten,1
17,Izabal,1
18,Zacapa,1
19,Chiquimula,1
20,Jalapa,1
21,Jutiapa,1
22,El Progreso,1
23,Ciudad de Mexico,2
24,Jalisco,2
25,Nuevo Leon,2
26,Estado de Mexico,2
27,Puebla,2
28,San Salvador,3
29,La Libertad,3
30,Santa Ana,3
31,San Miguel,3
32,Sonsonate,3
