id_detalle_venta,cantidad,precio_unitario,subtotal,VENTA_id_venta,PRODUCTO_id_producto
1,6,6.19,37.14,1,94
2,1,77.74,77.74,1,35
3,3,3.95,11.85,2,43
4,6,120.1,720.6,3,81
5,1,55.51,55.51,3,32
6,5,241.68,1208.4,3,45
7,4,214.72,858.88,3,95
8,6,92.75,556.5,4,7
9,4,64.44,257.76,5,96
10,1,147.14,147.14,6,77
11,4,13.52,54.08,6,41
12,5,161.55,807.75,7,87
13,4,27.28,109.12,7,53
14,4,170.63,682.52,8,87
15,1,112.29,112.29,8,81
16,4,188.54,754.16,8,10
17,4,240.61,962.44,8,76
18,5,74.58,372.9,9,54
19,5,181.09,905.45,9,51
20,4,45.45,181.8,9,4
21,1,245.61,245.61,9,45
22,4,51.33,205.32,10,61
23,6,41.55,249.3,10,44
24,3,95.17,285.51,10,103
25,5,81.61,408.05,11,68
26,6,12.93,77.58,12,36
27,6,171.39,1028.34,12,9
28,3,46.76,140.28,12,40
29,1,116.28,116.28,13,81
30,6,72.53,435.18,13,64
31,6,158.36,950.16,13,30
32,1,28.72,28.72,14,66
33,6,229.37,1376.22,14,71
34,3,25.39,76.17,15,53
35,5,33.77,168.85,15,85
36,5,163.25,816.25,15,87
37,6,124.51,747.06,15,102
38,6,237.1,1422.6,16,88
39,1,212.08,212.08,17,73
40,1,46.76,46.76,17,40
41,1,52.41,52.41,17,110
42,6,136.4,818.4,17,8
43,2,106.02,212.04,18,65
44,6,178.91,1073.46,18,9
45,2,154.9,309.8,19,63
46,3,39.62,118.86,19,15
47,1,27.65,27.65,20,97
48,5,43.86,219.3,20,40
49,2,64.44,128.88,20,96
50,4,19.94,79.76,20,52
51,2,191.61,383.22,21,1
52,2,21.07,42.14,22,67
53,3,239.6,718.8,22,56
54,6,125.76,754.56,22,82
55,4,257.8,1031.2,22,23
56,4,130.87,523.48,23,50
57,3,124.51,373.53,24,102
58,4,206.05,824.2,24,73
59,5,52.91,264.55,24,61
60,6,148.46,890.76,25,83
61,3,77.73,233.19,25,68
62,6,24.11,144.66,25,20
63,4,221.8,887.2,26,108
64,6,117.06,702.36,27,31
65,5,52.82,264.1,27,110
66,2,5.64,11.28,28,13
67,2,113.83,227.66,28,82
68,2,67.02,134.04,28,105
69,2,72.53,145.06,28,54
70,2,197.93,395.86,29,55
71,6,43.73,262.38,29,11
72,3,246.34,739.02,29,28
73,5,129.36,646.8,30,38
74,5,221.76,1108.8,30,29
75,1,12.73,12.73,30,41
76,6,226.63,1359.78,30,108
77,6,183.85,1103.1,31,111
78,5,62.59,312.95,31,96
79,2,240.54,481.08,31,104
80,1,51.74,51.74,32,32
81,2,116.51,233.02,33,81
82,5,59.54,297.7,33,90
83,6,168.27,1009.62,33,75
84,4,89.63,358.52,34,7
85,6,256.47,1538.82,34,12
86,4,26.23,104.92,34,97
87,6,43.86,263.16,35,40
88,6,166.95,1001.7,36,87
89,2,151.33,302.66,36,24
90,6,112.14,672.84,36,82
91,2,96.47,192.94,36,47
92,4,214.6,858.4,37,95
93,3,210.97,632.91,37,99
94,3,143.4,430.2,38,49
95,6,105.59,633.54,38,17
96,2,137.69,275.38,38,8
97,6,150.14,900.84,38,37
98,3,72.53,217.59,39,64
99,6,151.96,911.76,40,83
100,2,259.85,519.7,40,58
101,4,52.41,209.64,41,110
102,2,95.38,190.76,41,57
103,1,154.34,154.34,41,37
104,1,141.87,141.87,41,63
