id_pago,monto,VENTA_id_venta,METODO_PAGO_id_metodo_pago
1,114.88,1,1
2,11.85,2,2
3,2843.39,3,3
4,556.5,4,2
5,257.76,5,2
6,201.22,6,3
7,348.92,7,4
8,567.95,7,1
9,1515.74,8,3
10,995.67,8,4
11,1705.76,9,4
12,740.13,10,3
13,1501.62,13,3
14,1404.94,14,4
15,632.32,18,1
16,278.05,19,4
17,150.61,19,3
18,455.59,20,1
19,1462.28,24,4
20,966.46,27,4
21,292.12,28,1
22,225.92,28,4
23,3128.11,30,4
24,1897.13,31,1
25,1540.34,33,2
26,740.91,34,1
27,2170.14,36,1
28,1431.46,40,1
29,1085.48,42,4
30,849.02,42,3
31,818.14,43,4
32,1279.79,43,2
33,1071.11,45,2
34,554.15,45,3
35,262.2,48,4
36,826.43,49,1
37,698.22,50,3
38,886.55,51,2
39,667.14,51,3
40,892.4,53,3
41,486.69,54,1
42,764.79,54,4
43,535.61,55,4
44,2243.46,56,2
45,1663.12,57,4
46,2014.97,58,1
47,581.83,59,4
48,1059.12,59,3
49,1760.64,60,3
50,859.14,62,1
51,214.8,63,3
52,455.31,64,1
53,44.28,65,2
54,1743.81,66,2
55,658.87,67,1
56,391.22,69,4
57,222.73,69,1
58,138.3,70,3
59,1914.66,71,2
60,879.74,73,2
61,846.28,74,2
62,1214.55,75,3
63,1191.04,76,3
64,352.67,77,3
65,648.88,77,4
66,505.14,78,4
67,834.14,78,1
68,172.71,79,3
69,121.4,80,1
70,157.18,81,4
71,411.85,82,1
72,471.23,83,1
73,841.76,84,1
74,1071.42,86,4
75,531.5,90,4
76,115.36,91,1
77,91.46,91,4
78,1646.17,93,3
79,685.73,94,4
80,263.53,95,1
81,374.97,95,3
82,960.92,97,3
83,509.4,98,1
84,728.84,98,2
85,1255.9,99,4
86,1514.82,99,3
87,711.42,100,3
88,470.54,101,2
89,257.05,101,4
90,371.34,102,4
91,267.15,102,3
92,563.51,104,2
93,644.19,104,4
94,901.26,105,1
95,3134.82,106,4
96,2225.89,107,4
97,1700.29,108,1
98,415.96,109,3
99,1285.25,110,4
100,1173.68,113,1
101,756.1,115,4
102,19.98,116,2
103,1014.91,117,4
104,453.01,117,3
105,966.9,118,3
106,331.86,119,1
107,240.42,119,4
108,59.56,120,3
109,45.36,120,2
110,244.46,121,3
111,399.22,121,1
112,464.22,123,3
113,345.28,123,2
114,969.3,124,4
115,2275.79,128,4
116,826.15,129,2
117,702.69,129,4
118,992.99,130,4
119,1087.17,131,4
120,9.89,132,4
121,1025.88,133,4
122,2211.64,135,4
123,617.1,137,2
124,175.37,138,2
125,601.2,139,2
126,1178.28,142,1
127,263.85,144,1
128,324.89,145,2
129,423.75,146,4
130,60.94,149,3
131,28.26,149,4
132,66.39,150,2
133,588.9,151,4
134,1967.98,152,1
135,326.52,153,1
136,469.28,154,1
137,1148.52,155,4
138,655.31,156,3
139,1976.4,159,2
140,662.06,160,2
141,1912.86,161,2
142,998.75,163,4
143,1352.74,163,3
144,1998.09,164,3
145,1749.21,165,4
146,933.11,166,3
147,1788.69,167,4
148,995.15,168,1
149,635.25,169,3
150,1315.71,170,3
151,92.1,171,1
152,157.98,171,3
153,459.69,172,3
154,934.42,173,3
155,1351.61,175,4
156,1013.33,175,3
157,783.72,176,4
158,1460.71,176,3
159,1688.43,177,2
160,22.6,178,1
161,255.96,179,3
162,783.38,180,4
163,76.02,181,2
164,749.69,182,3
165,2386,183,3
166,1192.6,184,3
167,590.2,186,3
168,107.3,187,4
169,260,188,1
170,313.04,189,1
171,342.51,189,4
172,423.84,191,4
173,2748.79,193,3
174,674.53,194,4
175,1634.6,195,4
176,205.42,198,1
177,749.52,199,4
178,584.75,200,4
179,157.85,201,3
180,82.29,201,2
181,1883.53,203,1
182,217.84,204,2
183,442.46,204,3
184,397.29,205,1
185,175.19,205,4
186,53.16,206,3
187,356.93,208,2
188,2734.97,210,1
189,86.54,211,1
190,256.97,212,2
191,684.09,213,1
192,1238.69,214,2
193,50.92,215,4
194,1540.75,217,1
195,2730.32,218,1
196,119.6,221,2
197,238.24,221,3
198,1773.23,222,3
199,55.84,223,3
200,1296.65,224,1
201,1227.68,225,1
202,616.83,226,3
203,636.96,227,1
204,2458.86,228,4
205,109.42,229,2
206,243.32,229,4
207,2688.42,231,4
208,527.15,232,1
209,1520.88,233,2
210,993.92,235,2
211,121.4,237,1
212,84.16,239,3
213,869.71,240,1
214,115.26,241,3
215,224.98,241,2
216,1101.25,243,4
217,343.12,245,1
218,790.53,245,2
219,580.08,247,2
220,587.58,248,1
221,1275.73,248,3
222,26.51,249,2
223,226.89,250,1
224,458.22,251,4
225,969.45,252,4
226,117.18,253,3
227,60.71,253,2
228,3139.1,254,4
229,1477.24,255,3
230,960.92,256,3
231,306.87,257,3
232,255.86,257,1
233,1142,259,2
234,1397.44,260,4
235,704.48,261,1
236,2375.6,264,2
237,852.93,266,2
238,1319.23,267,3
239,1450.08,268,4
240,1595.12,269,2
241,2117.06,270,4
242,568.58,271,2
243,513.35,271,1
244,756.39,272,4
245,1732.31,272,1
246,1355.24,273,1
247,1159.15,274,4
248,1310.44,276,3
249,893.57,277,4
250,2601.95,278,4
251,288.74,279,3
252,137,279,4
253,1129.81,280,3
254,421.06,281,3
255,691.88,281,4
256,446.14,282,4
257,160.41,283,4
258,129.71,283,1
259,155.8,284,4
260,292.2,284,3
261,583.97,285,3
262,1004.26,285,4
263,713.24,286,2
264,1327.16,287,4
265,2448.66,289,1
266,347.11,290,4
267,512.62,290,2
268,1975.13,291,4
269,950.98,292,2
270,521.04,293,4
271,1197.65,293,2
272,699.66,296,2
273,369.11,296,3
274,133.32,298,2
275,147.58,298,1
276,1239.1,299,2
277,110.09,300,4
278,771.11,301,2
279,525.85,303,4
280,60.07,304,2
281,2723.97,305,4
282,467.14,306,3
283,459.48,307,3
284,340.24,307,2
285,392.11,308,3
286,2082.08,309,4
287,968.68,311,1
288,1116.14,312,4
289,427.16,313,3
290,320.56,313,1
291,515.58,314,3
292,1099.5,315,3
293,1035.9,316,1
294,1244.25,317,2
295,578.15,318,2
296,948.4,319,1
297,284.97,320,1
298,1659.73,321,3
299,1276.93,322,1
300,569.42,323,3
301,633.55,324,2
302,502.52,326,2
303,271.98,326,1
304,161.58,328,1
305,112.26,328,2
306,286.03,329,1
307,188.17,329,3
308,323.08,330,1
309,1600.78,331,2
310,2396.49,332,3
