id_producto,nombre,descripcion,precio_vigente,existencia,CATEGORIA_id_categoria,MARCA_id_marca
1,Agua pura Original,"Agua pura presentacion original, categoria Bebidas",191.82,1203,1,4
2,Agua pura Especial,"Agua pura presentacion especial, categoria Bebidas",116.65,2208,1,3
3,Gaseosa Premium,"Gaseosa presentacion premium, categoria Bebidas",177.6,1159,1,9
4,Gaseosa Extra,"Gaseosa presentacion extra, categoria Bebidas",44.94,1335,1,7
5,Jugo de naranja Clasico,"Jugo de naranja presentacion clasico, categoria Bebidas",58.11,2120,1,9
6,Jugo de naranja Light,"Jugo de naranja presentacion light, categoria Bebidas",104.28,1681,1,11
7,Cafe molido Familiar,"Cafe molido presentacion familiar, categoria Bebidas",88.61,1618,1,14
8,Cafe molido Familiar 8,"Cafe molido presentacion familiar, categoria Bebidas",141.23,2088,1,13
9,Te helado Familiar,"Te helado presentacion familiar, categoria Bebidas",175.72,1394,1,8
10,Te helado Familiar 10,"Te helado presentacion familiar, categoria Bebidas",184.34,1933,1,3
11,Bebida energetica Especial,"Bebida energetica presentacion especial, categoria Bebidas",44.45,2377,1,12
12,Bebida energetica Clasico,"Bebida energetica presentacion clasico, categoria Bebidas",244.66,1463,1,6
13,Agua mineral Especial,"Agua mineral presentacion especial, categoria Bebidas",5.33,1143,1,4
14,Agua mineral Premium,"Agua mineral presentacion premium, categoria Bebidas",26.66,1600,1,4
15,Nectar de durazno Extra,"Nectar de durazno presentacion extra, categoria Bebidas",40.51,1923,1,5
16,Nectar de durazno Clasico,"Nectar de durazno presentacion clasico, categoria Bebidas",238.63,1239,1,4
17,Papas fritas Light,"Papas fritas presentacion light, categoria Snacks",112.5,1848,2,11
18,Papas fritas Extra,"Papas fritas presentacion extra, categoria Snacks",20.26,2363,2,9
19,Tortillas de maiz frito Especial,"Tortillas de maiz frito presentacion especial, categoria Snacks",59.09,2271,2,7
20,Tortillas de maiz frito Especial 20,"Tortillas de maiz frito presentacion especial, categoria Snacks",24.06,2838,2,15
21,Mani salado Clasico,"Mani salado presentacion clasico, categoria Snacks",13.54,1665,2,15
22,Mani salado Extra,"Mani salado presentacion extra, categoria Snacks",100.84,1771,2,1
23,Galletas saladas Original,"Galletas saladas presentacion original, categoria Snacks",249.03,2633,2,2
24,Galletas saladas Original 24,"Galletas saladas presentacion original, categoria Snacks",160.02,1287,2,14
25,Palomitas Familiar,"Palomitas presentacion familiar, categoria Snacks",135.74,1750,2,10
