id_venta,fecha,TIENDA_id_tienda,CLIENTE_id_cliente,EMPLEADO_id_empleado,ESTADO_VENTA_id_estado_venta
1,2026-08-23,3,10,11,2
2,2025-09-07,10,220,42,2
3,2025-02-08,5,105,19,2
4,2025-12-17,1,170,2,2
5,2025-11-26,20,267,87,2
6,2025-05-09,2,105,6,2
7,2026-03-11,6,126,22,2
8,2025-06-21,12,194,54,2
9,2025-06-29,18,284,75,2
10,2025-01-05,7,98,26,2
11,2025-02-09,19,210,80,3
12,2025-09-19,6,224,22,1
13,2025-09-06,13,127,56,2
14,2025-09-18,20,76,87,2
15,2026-06-15,13,42,57,3
16,2026-02-26,13,158,57,1
17,2025-08-03,12,138,52,3
18,2025-10-23,14,214,60,1
19,2025-07-10,15,109,65,2
20,2025-03-23,20,86,84,2
21,2025-01-08,1,137,1,1
22,2025-09-30,1,267,4,3
23,2025-12-31,13,30,57,1
24,2025-01-27,13,72,57,2
25,2025-01-04,17,97,73,3
26,2026-02-14,15,249,62,1
27,2025-10-28,16,198,66,2
28,2026-04-24,3,281,11,2
29,2025-06-14,14,15,60,3
30,2026-07-02,16,70,66,2
31,2025-08-17,18,120,77,2
32,2025-11-17,19,66,82,3
33,2026-03-10,19,199,81,2
34,2026-07-06,4,5,17,1
35,2026-05-30,20,159,86,3
36,2026-05-22,19,111,83,2
37,2025-11-03,6,201,24,3
38,2025-12-23,14,243,60,1
39,2025-11-28,13,68,55,1
40,2026-05-10,6,227,22,2
41,2026-01-21,12,76,51,3
42,2025-06-02,17,223,72,2
43,2025-10-09,3,196,12,2
44,2026-05-11,4,197,15,3
45,2026-02-08,6,11,24,2
46,2026-04-03,6,285,21,1
47,2025-09-20,6,288,21,1
48,2025-01-01,12,217,52,2
49,2025-11-17,5,252,20,2
50,2025-05-26,8,97,31,2
51,2025-03-18,5,217,20,2
52,2025-07-17,7,138,25,1
53,2025-10-04,20,40,85,2
54,2025-10-07,3,171,11,2
55,2025-04-08,6,251,23,2
56,2026-07-19,6,273,23,2
57,2025-10-01,5,291,19,2
58,2025-10-21,12,258,54,2
59,2026-08-13,8,85,31,2
60,2026-02-20,18,64,79,2
61,2025-06-22,8,230,31,1
62,2026-01-24,2,254,8,2
63,2025-10-28,10,248,43,2
64,2026-05-15,17,238,70,2
65,2026-02-16,1,96,3,2
66,2025-01-08,14,250,58,2
67,2026-03-26,18,56,76,1
68,2025-12-06,5,216,19,3
69,2026-05-16,9,216,35,2
70,2025-05-10,4,11,14,2
71,2026-03-21,14,5,60,2
72,2025-09-27,8,59,33,3
73,2026-08-29,4,97,15,2
74,2025-07-24,5,10,19,2
75,2026-05-06,8,219,33,2
76,2025-01-01,2,21,6,2
77,2025-11-08,16,172,68,2
78,2025-10-10,12,122,53,2
79,2025-11-05,3,176,13,1
80,2026-04-05,18,188,76,2
81,2025-10-24,6,67,23,2
82,2026-03-25,16,85,66,1
83,2026-06-22,17,258,73,2
84,2025-02-10,18,150,75,2
